transaction_id,customer_id,product_id,quantity,price,total_amount,transaction_date
1,1076,5032,9,48.12,433.08,2023-04-11
2,1059,5100,7,36.17,253.19,2023-10-13
3,1080,5084,4,43.41,173.64,2023-01-03
4,1034,5032,9,14.17,127.53,2023-12-04
5,1090,5026,8,5.98,47.84,2023-06-26
6,1032,5041,1,31.66,31.66,2023-02-17
7,1069,5051,2,7.86,15.72,2023-07-01
8,1051,5034,4,41.07,164.28,2023-12-20
9,1022,5035,9,5.94,53.46,2023-02-01
10,1048,5036,4,37.76,151.04,2023-08-28
11,1053,5077,4,41.39,165.56,2023-12-29
12,1006,5084,10,15.98,159.8,2023-11-20
13,1044,5096,3,8.12,24.36,2023-11-14
14,1091,5059,7,44.82,313.74,2023-06-18
15,1092,5052,8,7.29,58.32,2023-07-23
16,1030,5076,7,10.41,72.87,2023-01-14
17,1095,5095,3,45.35,136.05,2023-04-25
18,1074,5013,9,12.02,108.18,2023-06-11
19,1055,5033,4,42.57,170.28,2023-11-26
20,1096,5010,1,9.05,9.05,2023-03-02
21,1021,5007,3,20.51,61.53,2023-06-11
22,1009,5047,5,13.68,68.4,2023-01-07
23,1071,5067,7,26.87,188.09,2023-08-29
24,1018,5045,3,20.52,61.56,2023-12-06
25,1007,5065,5,44.93,224.65,2023-12-31
26,1074,5096,2,10.12,20.24,2023-01-21
27,1004,5087,8,18.79,150.32,2023-10-11
28,1018,5002,3,30.42,91.26,2023-10-05
29,1076,5024,9,39.48,355.32,2023-09-17
30,1091,5033,1,6.94,6.94,2023-08-15
31,1011,5063,4,9.62,38.48,2023-11-05
32,1074,5097,3,36.17,108.51,2023-01-28
33,1064,5075,9,19.43,174.87,2023-03-20
34,1099,5063,9,37.23,335.07,2023-01-10
35,1016,5058,4,19.36,77.44,2023-08-14
36,1005,5070,3,26.57,79.71,2023-01-28
37,1098,5005,2,49.49,98.98,2023-02-07
38,1040,5086,10,49.58,495.8,2023-12-27
39,1090,5001,1,8.47,8.47,2023-11-12
40,1027,5092,1,23.67,23.67,2023-11-19
41,1050,5031,3,32.17,96.51,2023-04-20
42,1088,5078,2,48.23,96.46,2023-08-22
43,1058,5065,7,16.14,112.98,2023-03-26
44,1003,5045,9,33.93,305.37,2023-07-16
45,1089,5063,9,12.47,112.23,2023-09-25
46,1069,5088,4,7.51,30.04,2023-06-28
47,1025,5059,9,15.98,143.82,2023-02-25
48,1082,5095,3,28.8,86.4,2023-09-13
49,1060,5077,6,31.81,190.86,2023-12-14
50,1011,5059,2,6.95,13.9,2023-02-01
51,1037,5026,9,27.65,248.85,2023-10-28
52,1036,5095,4,11.71,46.84,2023-06-30
53,1090,5045,8,8.75,70.0,2023-12-26
54,1042,5070,5,47.66,238.3,2023-04-07
55,1011,5085,4,26.96,107.84,2023-01-23
56,1001,5052,1,24.31,24.31,2023-12-04
57,1042,5052,6,38.55,231.3,2023-09-25
58,1035,5007,8,20.17,161.36,2023-03-14
59,1038,5074,8,16.16,129.28,2023-10-02
60,1099,5015,10,32.92,329.2,2023-01-05
61,1023,5026,5,26.91,134.55,2023-01-17
62,1056,5098,7,37.39,261.73,2023-01-23
63,1043,5080,9,9.53,85.77,2023-05-24
64,1066,5059,6,32.05,192.3,2023-01-16
65,1071,5082,2,35.81,71.62,2023-02-03
66,1054,5020,1,30.63,30.63,2023-01-08
67,1050,5081,4,25.86,103.44,2023-10-26
68,1052,5074,3,14.33,42.99,2023-12-04
69,1095,5086,10,21.74,217.4,2023-03-05
70,1082,5047,10,26.8,268.0,2023-06-09
71,1079,5056,2,20.98,41.96,2023-04-11
72,1094,5091,4,21.03,84.12,2023-08-12
73,1051,5077,1,28.03,28.03,2023-01-27
74,1066,5021,3,23.2,69.6,2023-05-29
75,1098,5011,6,20.86,125.16,2023-08-23
76,1092,5096,3,26.39,79.17,2023-01-08
77,1008,5094,10,35.01,350.1,2023-06-25
78,1007,5047,9,37.41,336.69,2023-11-08
79,1055,5005,4,13.09,52.36,2023-01-22
80,1063,5002,4,32.92,131.68,2023-09-24
81,1061,5070,1,26.16,26.16,2023-12-18
82,1021,5073,2,33.54,67.08,2023-01-10
83,1008,5010,10,39.69,396.9,2023-11-30
84,1049,5096,6,41.82,250.92,2023-07-04
85,1037,5056,7,22.06,154.42,2023-06-21
86,1026,5034,7,30.36,212.52,2023-02-23
87,1059,5061,9,5.37,48.33,2023-05-03
88,1018,5092,9,45.04,405.36,2023-04-22
89,1092,5063,1,11.32,11.32,2023-03-29
90,1096,5057,6,36.46,218.76,2023-09-22
91,1030,5039,4,39.36,157.44,2023-11-07
92,1054,5048,6,5.86,35.16,2023-05-12
93,1046,5065,10,30.15,301.5,2023-10-25
94,1075,5085,2,35.87,71.74,2023-04-10
95,1016,5007,3,33.87,101.61,2023-11-05
96,1026,5041,3,12.15,36.45,2023-06-18
97,1045,5037,4,18.51,74.04,2023-05-22
98,1070,5030,1,8.17,8.17,2023-12-10
99,1065,5097,10,24.46,244.6,2023-12-05
100,1071,5015,2,15.97,31.94,2023-01-06
